"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt"
"42","4HKNdrBYS5k","I dont know why they put hindi in world cup song ? Sounds cheap!😪","I dont know why they put hindi in world cup song ? Sounds cheap!😪","Omar BD","https://yt3.ggpht.com/myyLsSx-zVSQ_UnBaGNK59m7QIvd5qrnOCy0rPqd1wtf9sqCVz7UqJgg_PS4He678Aj3eZvhhQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCB85MLj_AdS66Q0qWS_1GLw","UCB85MLj_AdS66Q0qWS_1GLw","TRUE","none","0","2022-10-18T19:37:59Z","2022-10-18T19:37:59Z"
"43","4HKNdrBYS5k","Okay let me say it again : wavin flag&gt; we are one=waka waka &gt;&gt;&gt; the rest","Okay let me say it again : wavin flag> we are one=waka waka >>> the rest","Jerrin Paul","https://yt3.ggpht.com/hyEvDtdhK4qu7xRRTNh8CLi-18HP3BKz2trc1Rh8hat4bGT6cU9h0lQ-CbNMmLQpoiail5husQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCET1Giiu8Ae_IDe53TPWnWQ","UCET1Giiu8Ae_IDe53TPWnWQ","TRUE","none","0","2022-10-18T19:32:24Z","2022-10-18T19:32:24Z"
"44","4HKNdrBYS5k","hate h bhai hate","hate h bhai hate","Arvind Sharma","https://yt3.ggpht.com/ytc/AMLnZu8YstLA8T0P_2EJp25snJiEh9GDSnTKUd1V7Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCxY7HUmcXXRgsvaIz9ypOEQ","UCxY7HUmcXXRgsvaIz9ypOEQ","TRUE","none","0","2022-10-18T19:32:07Z","2022-10-18T19:32:07Z"
"45","4HKNdrBYS5k","Bruh what is this😐","Bruh what is this😐","Jerrin Paul","https://yt3.ggpht.com/hyEvDtdhK4qu7xRRTNh8CLi-18HP3BKz2trc1Rh8hat4bGT6cU9h0lQ-CbNMmLQpoiail5husQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCET1Giiu8Ae_IDe53TPWnWQ","UCET1Giiu8Ae_IDe53TPWnWQ","TRUE","none","0","2022-10-18T19:30:42Z","2022-10-18T19:30:42Z"
"46","4HKNdrBYS5k","Hayya and Arhbo are much better","Hayya and Arhbo are much better","Jal Man","https://yt3.ggpht.com/ytc/AMLnZu90RvXRkAYg5Bio25rbmELvbZOcXQ56-o9ubg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCBQ5Ux0KXp2YA-7lI0L_4hA","UCBQ5Ux0KXp2YA-7lI0L_4hA","TRUE","none","0","2022-10-18T19:29:17Z","2022-10-18T19:29:17Z"
"47","4HKNdrBYS5k","Very badly missing emotion of football😪","Very badly missing emotion of football😪","oXm","https://yt3.ggpht.com/NM7oDhagl17d5oYGhwr-PLKX5jsGqVtSD4u1roRoanDbw4wlN0nZxvdUOWOOpRJQVjzg0Sud=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCU4WL3OgPzPG4pJYca1Nk4w","UCU4WL3OgPzPG4pJYca1Nk4w","TRUE","none","0","2022-10-18T19:22:06Z","2022-10-18T19:22:20Z"
"48","4HKNdrBYS5k","Love you Balqees but y’all didn’t understand the assignment.","Love you Balqees but y’all didn’t understand the assignment.","Esra","https://yt3.ggpht.com/ytc/AMLnZu9hO28qaQE7JcaBo6OWxz99DNAHKDip3VFTp0oP=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC4iBvo9gqpi90fB5KbEu7KA","UC4iBvo9gqpi90fB5KbEu7KA","TRUE","none","0","2022-10-18T19:22:05Z","2022-10-18T19:22:05Z"
"49","4HKNdrBYS5k","Where is the football FIFA????!!!","Where is the football FIFA????!!!","Mennat Limda","https://yt3.ggpht.com/ytc/AMLnZu_NTy_7RGVM7UpaXihIb1qko7rSE0lr7KA_qTp-TVgo2RcwPwX_uTWd3vdfCHeL=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC9L7_iee6mj6KgQLVUWC7-Q","UC9L7_iee6mj6KgQLVUWC7-Q","TRUE","none","0","2022-10-18T19:16:58Z","2022-10-18T19:16:58Z"
"50","4HKNdrBYS5k","What was that????????<br>Where was football???","What was that????????
Where was football???","oaishe khan","https://yt3.ggpht.com/ytc/AMLnZu_5cVmMQ2-DO-XPSdsjnaVlE-R-sI4NKDARW2ju=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCXYLMDHSiwNsLyr83im0g0w","UCXYLMDHSiwNsLyr83im0g0w","TRUE","none","0","2022-10-18T19:15:27Z","2022-10-18T19:15:27Z"
"51","4HKNdrBYS5k","برافو ❤️❤️❤️❤️👌👏👏👏👏👏🔥","برافو ❤️❤️❤️❤️👌👏👏👏👏👏🔥","Qa Do","https://yt3.ggpht.com/ytc/AMLnZu9MUFavE7Uye6GioAKuX0p5orY7_RG6mYNrVA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCuwtO1a10EgYmrJhXfc0OXA","UCuwtO1a10EgYmrJhXfc0OXA","TRUE","none","1","2022-10-18T19:13:54Z","2022-10-18T19:13:54Z"
